loan_id,customer_id,branch_id,loan_type_id,disbursement_date,due_date,loan_amount,interest_rate,emi_amount,paid_amount,outstanding_balance,loan_status,default_flag
L02670,C0212,B005,3,17-10-22,17-10-23,4692812,8.61,43017.44,2742428.72,1950383.28,Active,No
L02671,C0119,B011,3,19-01-23,16-01-33,2533303,15.44,23221.94,1189670.0,1343633.0,Active,No
L02672,C1128,B027,2,04-06-23,01-06-33,405999,14.27,3721.66,297453.7,108545.3,Active,No
L02673,C0277,B010,4,16-02-23,15-02-25,3944059,10.63,36153.87,1536294.77,2407764.23,Active,No
L02674,C0510,B017,2,14-01-22,14-01-23,1796158,7.72,16464.78,1506378.79,289779.21,Closed,No
L02675,C1260,B010,5,18-08-23,17-08-27,766624,15.39,7027.39,331825.35,434798.65,Active,No
L02676,C1160,B021,4,19-05-23,17-05-29,2431862,15.42,22292.07,693288.05,1738573.95,Defaulted,Yes
L02677,C1420,B007,3,28-02-23,27-02-25,3350467,11.67,30712.61,1079128.92,2271338.08,Closed,No
L02678,C0927,B025,3,28-03-24,27-03-31,3267472,7.95,29951.83,1063267.41,2204204.59,Active,No
L02679,C0588,B002,3,19-06-22,17-06-29,1168664,13.45,10712.75,467289.55,701374.45,Active,No
L02680,C0756,B017,5,08-04-23,07-04-24,956347,14.11,8766.51,332389.65,623957.35,Active,No
L02681,C1039,B029,1,15-04-22,13-04-28,4433410,8.06,40639.59,3904382.22,529027.78,Active,No
L02682,C0236,B028,2,17-02-23,16-02-27,3718480,12.13,34086.07,872934.06,2845545.94,Active,No
L02683,C0996,B021,5,15-05-23,14-05-24,4522511,12.17,41456.35,2906437.86,1616073.14,Closed,No
L02684,C0971,B013,5,26-01-23,24-01-29,1724881,14.13,15811.41,919408.76,805472.24,Active,No
L02685,C0297,B006,3,09-04-24,07-04-33,2464314,8.69,22589.55,1089712.0,1374602.0,Active,No
L02686,C0145,B008,4,04-07-23,03-07-27,4665246,11.2,42764.76,4054629.29,610616.71,Active,No
L02687,C0226,B030,5,04-11-22,04-11-23,3178545,13.06,29136.66,741369.87,2437175.13,Defaulted,Yes
L02688,C0540,B026,1,25-01-23,22-01-33,3293110,13.6,30186.84,2321770.19,971339.81,Closed,No
L02689,C0051,B009,4,17-11-23,16-11-25,4912990,14.49,45035.74,2589201.56,2323788.44,Active,No
L02690,C1261,B005,6,05-08-23,03-08-29,1141365,14.28,10462.51,986887.43,154477.57,Closed,No
L02691,C0839,B018,5,23-01-23,22-01-27,1299693,9.82,11913.85,1183646.9,116046.1,Closed,No
L02692,C0406,B025,1,16-02-22,14-02-31,1949222,8.33,17867.87,798141.9,1151080.1,Active,No
L02693,C0701,B030,1,28-05-24,27-05-28,4817442,8.75,44159.89,3404922.1,1412519.9,Active,No
L02694,C0005,B010,3,14-10-23,12-10-31,1071771,7.81,9824.57,595848.32,475922.68,Active,No
L02695,C0098,B026,4,05-01-23,03-01-31,3573475,8.3,32756.85,718593.13,2854881.87,Closed,No
L02696,C0045,B007,1,08-11-23,06-11-28,4322226,13.97,39620.41,2450775.79,1871450.21,Active,No
L02697,C0313,B015,3,29-12-22,27-12-30,3369254,12.3,30884.83,1406370.47,1962883.53,Active,No
L02698,C0456,B007,4,20-03-24,19-03-29,558459,9.57,5119.21,314968.17,243490.83,Active,No
L02699,C0922,B001,5,05-10-23,04-10-27,4970630,9.48,45564.11,3433460.17,1537169.83,Defaulted,Yes
L02700,C1260,B010,1,20-04-22,19-04-25,2018972,14.03,18507.24,1038857.06,980114.94,Defaulted,Yes
L02701,C0035,B008,2,19-02-23,17-02-30,2620436,13.57,24020.66,672526.25,1947909.75,Closed,No
L02702,C1323,B018,1,07-04-23,05-04-29,3040986,11.41,27875.71,1176844.07,1864141.93,Active,No
L02703,C0167,B001,5,11-02-23,08-02-33,2125311,10.75,19482.02,573985.48,1551325.52,Closed,No
L02704,C0660,B008,4,07-12-22,07-12-23,2577346,10.61,23625.67,1354660.68,1222685.32,Active,No
L02705,C1068,B013,4,23-10-22,20-10-32,278831,9.9,2555.95,69469.7,209361.3,Active,No
L02706,C1063,B019,3,29-07-23,26-07-32,3275683,9.52,30027.09,2685791.2,589891.8,Closed,No
L02707,C0831,B026,1,13-03-22,13-03-23,4019972,15.41,36849.74,842962.56,3177009.44,Closed,No
L02708,C0996,B025,2,12-04-23,10-04-31,4030359,10.01,36944.96,818739.12,3211619.88,Active,No
L02709,C0076,B015,5,14-11-22,13-11-24,1754826,8.39,16085.91,1486610.98,268215.02,Closed,No
L02710,C0867,B027,1,17-03-22,17-03-23,3810698,9.72,34931.4,1087168.03,2723529.97,Closed,No
L02711,C0602,B003,3,25-01-22,24-01-28,1527918,14.29,14005.92,1432470.36,95447.64,Active,No
L02712,C1364,B022,5,10-03-23,08-03-28,3855906,12.81,35345.81,1632794.38,2223111.62,Active,No
L02713,C0767,B006,2,18-01-24,15-01-34,3515481,15.39,32225.24,3473089.73,42391.27,Defaulted,Yes
L02714,C0738,B008,1,07-05-23,06-05-24,322413,9.99,2955.45,275609.86,46803.14,Closed,No
L02715,C0713,B007,6,13-12-23,11-12-30,4995650,13.24,45793.46,1718952.49,3276697.51,Closed,No
L02716,C0213,B015,2,28-01-24,25-01-34,4106588,14.45,37643.72,2948840.58,1157747.42,Active,No
L02717,C1038,B016,6,21-02-24,20-02-27,3686733,14.93,33795.05,2785608.74,901124.26,Active,No
L02718,C0771,B028,3,20-07-22,19-07-26,4798941,14.18,43990.29,4118194.81,680746.19,Closed,No
L02719,C0929,B022,1,07-06-22,06-06-27,4119505,13.11,37762.13,2995219.83,1124285.17,Active,No
L02720,C0987,B030,5,05-09-22,03-09-29,2394112,11.02,21946.03,1583000.15,811111.85,Closed,No
L02721,C1313,B004,4,04-02-22,03-02-26,3710633,14.1,34014.14,759532.72,2951100.28,Active,No
L02722,C0796,B005,3,19-04-23,18-04-24,1151053,10.65,10551.32,339277.34,811775.66,Closed,No
L02723,C0760,B025,3,10-04-24,09-04-31,4774906,9.92,43769.97,3294133.34,1480772.66,Defaulted,Yes
L02724,C0209,B010,6,02-08-22,31-07-28,4588868,10.38,42064.62,3465372.34,1123495.66,Active,No
L02725,C1355,B005,4,06-01-22,06-01-24,2035893,13.29,18662.35,1383266.78,652626.22,Active,No
L02726,C0310,B012,3,09-02-23,08-02-26,3434746,12.33,31485.17,3307700.58,127045.42,Active,No
L02727,C0356,B013,1,22-05-24,22-05-25,559363,7.88,5127.49,259216.46,300146.54,Closed,No
L02728,C0171,B027,3,24-03-22,22-03-29,1031856,8.09,9458.68,757153.1,274702.9,Closed,No
L02729,C0517,B025,6,14-03-22,11-03-32,3956017,12.51,36263.49,1400513.75,2555503.25,Active,No
L02730,C0003,B002,6,25-03-22,23-03-31,1268659,11.6,11629.37,1215435.03,53223.97,Closed,No
L02731,C0769,B027,5,02-11-23,30-10-33,1720824,7.91,15774.22,1074972.32,645851.68,Active,No
L02732,C0403,B022,2,28-11-23,27-11-25,4803343,7.99,44030.64,4237307.06,566035.94,Active,No
L02733,C0955,B021,2,13-11-23,11-11-30,2301165,14.35,21094.01,1434500.8,866664.2,Active,No
L02734,C0284,B005,1,07-01-23,05-01-32,2759272,11.88,25293.33,2151436.03,607835.97,Active,No
L02735,C0168,B017,6,18-06-24,17-06-31,1271965,14.08,11659.68,275753.12,996211.88,Active,No
L02736,C1285,B023,2,05-05-22,05-05-23,4132338,8.74,37879.77,2097265.62,2035072.38,Closed,No
L02737,C0894,B020,2,28-02-23,26-02-30,2296124,11.55,21047.8,1863675.78,432448.22,Closed,No
L02738,C0561,B001,2,21-11-22,20-11-25,654634,9.3,6000.81,347651.04,306982.96,Active,No
L02739,C1349,B006,3,15-08-23,14-08-26,668074,13.81,6124.01,514693.32,153380.68,Closed,No
L02740,C0824,B026,4,01-07-23,30-06-25,1351454,8.9,12388.33,1227672.91,123781.09,Closed,No
L02741,C1280,B019,3,09-09-23,08-09-26,2116619,14.99,19402.34,1204094.38,912524.62,Active,No
L02742,C0527,B009,3,17-11-22,15-11-31,1651968,9.73,15143.04,1529058.22,122909.78,Active,No
L02743,C0891,B017,1,12-09-22,11-09-24,3700429,8.1,33920.6,3009910.97,690518.03,Closed,No
L02744,C0050,B020,6,12-03-24,10-03-33,1966992,7.7,18030.76,740826.54,1226165.46,Active,No
L02745,C0650,B023,3,30-07-23,27-07-33,4291637,12.9,39340.01,2502548.96,1789088.04,Closed,No
L02746,C1431,B029,2,11-03-24,09-03-32,567969,11.75,5206.38,463882.29,104086.71,Defaulted,Yes
L02747,C0201,B023,2,17-09-23,16-09-24,537302,13.21,4925.27,181277.29,356024.71,Active,No
L02748,C0239,B014,2,30-09-22,28-09-29,3373012,10.66,30919.28,3248119.02,124892.98,Active,No
L02749,C0609,B003,5,24-01-22,24-01-23,1914993,8.9,17554.1,606293.23,1308699.77,Active,No
L02750,C1003,B015,2,24-11-22,22-11-30,2991557,15.26,27422.61,2172813.19,818743.81,Active,No
L02751,C1002,B028,5,26-03-24,25-03-30,4891993,13.61,44843.27,1743762.11,3148230.89,Closed,No
L02752,C0522,B024,4,11-03-22,10-03-27,4833901,12.96,44310.76,4685676.11,148224.89,Closed,No
L02753,C0802,B030,4,17-03-22,17-03-23,640147,9.25,5868.01,373581.74,266565.26,Active,No
L02754,C1338,B015,4,25-06-23,24-06-25,3671001,8.33,33650.84,1170073.28,2500927.72,Active,No
L02755,C0421,B007,1,09-01-23,09-01-24,4760802,11.84,43640.69,2063002.69,2697799.31,Closed,No
L02756,C1041,B023,2,06-01-23,03-01-33,3438017,15.21,31515.16,3317660.77,120356.23,Active,No
L02757,C1048,B015,2,06-10-23,05-10-26,2220188,13.89,20351.72,2209933.02,10254.98,Active,No
L02758,C0416,B003,2,10-02-22,08-02-30,4056933,9.34,37188.55,3027938.71,1028994.29,Active,No
L02759,C0715,B005,2,14-03-23,13-03-24,3062368,11.28,28071.71,2480509.98,581858.02,Active,No
L02760,C1128,B010,2,07-01-22,05-01-31,637318,11.26,5842.08,442136.93,195181.07,Closed,No
L02761,C1004,B020,6,29-04-24,28-04-31,681789,13.6,6249.73,374631.35,307157.65,Closed,No
L02762,C1498,B024,3,03-08-22,01-08-28,3418197,10.16,31333.47,1575781.0,1842416.0,Active,No
L02763,C0166,B002,5,02-12-23,01-12-25,263445,12.45,2414.91,56550.13,206894.87,Active,No
L02764,C0264,B014,2,07-12-23,06-12-27,4611109,13.02,42268.5,3757439.64,853669.36,Closed,No
L02765,C0276,B005,2,14-01-22,13-01-28,1859963,7.81,17049.66,994472.49,865490.51,Defaulted,Yes
L02766,C0390,B022,3,03-02-24,02-02-27,4537129,14.52,41590.35,1745574.32,2791554.68,Closed,No
L02767,C0420,B019,1,18-10-23,16-10-30,2403998,13.64,22036.65,860614.72,1543383.28,Active,No
L02768,C0852,B023,4,25-05-22,24-05-26,4799754,8.49,43997.75,1075666.61,3724087.39,Closed,No
L02769,C0966,B024,6,10-05-24,09-05-29,3675832,7.57,33695.13,2535489.85,1140342.15,Closed,No
L02770,C0518,B003,1,31-07-22,29-07-29,112037,8.3,1027.01,45194.75,66842.25,Active,No
L02771,C1405,B018,3,05-02-23,04-02-28,2313780,13.81,21209.65,1536877.2,776902.8,Active,No
L02772,C1344,B004,4,06-12-22,04-12-29,4733187,9.89,43387.55,1050651.33,3682535.67,Active,No
L02773,C0008,B019,2,18-08-23,16-08-28,3563439,8.27,32664.86,3079197.7,484241.3,Active,No
L02774,C1249,B026,4,03-01-23,31-12-32,150928,12.09,1383.51,68563.71,82364.29,Active,No
L02775,C0400,B004,3,24-12-23,23-12-26,3587163,13.17,32882.33,1000719.44,2586443.56,Closed,No
L02776,C0273,B022,5,17-01-23,17-01-24,1440476,10.1,13204.36,1092607.84,347868.16,Closed,No
L02777,C0912,B021,3,07-05-24,06-05-28,4699038,10.3,43074.52,1665739.57,3033298.43,Active,No
L02778,C0627,B016,4,05-10-22,04-10-25,580381,15.01,5320.16,559323.38,21057.62,Closed,No
L02779,C0219,B003,1,04-02-24,02-02-30,1764948,13.71,16178.69,1194254.73,570693.27,Active,No
L02780,C0372,B015,4,16-04-24,14-04-33,2823142,11.92,25878.8,1285865.07,1537276.93,Closed,No
L02781,C0912,B009,5,01-07-22,28-06-32,3471095,7.65,31818.37,806340.47,2664754.53,Active,No
L02782,C1093,B029,5,01-09-22,01-09-23,266698,13.15,2444.73,107687.77,159010.23,Defaulted,Yes
L02783,C0139,B026,3,31-08-23,30-08-26,4050093,8.92,37125.85,1191481.97,2858611.03,Active,No
L02784,C1418,B025,3,14-08-22,12-08-28,3186807,12.27,29212.4,3077890.45,108916.55,Active,No
L02785,C1155,B014,4,05-07-22,03-07-28,479127,11.06,4392.0,220775.97,258351.03,Closed,No
L02786,C0920,B019,5,06-09-23,05-09-27,840406,7.65,7703.72,240002.99,600403.01,Active,No
L02787,C0906,B028,3,09-11-22,07-11-28,2879634,13.64,26396.65,1653453.34,1226180.66,Defaulted,Yes
L02788,C1126,B019,3,01-12-23,28-11-32,973085,12.06,8919.95,262937.8,710147.2,Active,No
L02789,C0344,B006,1,09-02-22,08-02-26,1014607,9.11,9300.56,915739.26,98867.74,Closed,No
L02790,C0016,B030,5,28-12-23,27-12-27,4476235,9.68,41032.15,3026338.42,1449896.58,Active,No
L02791,C1184,B029,5,20-03-23,17-03-33,690121,12.44,6326.11,209744.17,480376.83,Active,No
L02792,C0576,B013,1,21-08-22,20-08-24,158992,13.48,1457.43,119162.48,39829.52,Defaulted,Yes
L02793,C1183,B029,5,19-01-24,18-01-27,4900338,11.23,44919.77,3349078.96,1551259.04,Closed,No
L02794,C0452,B007,5,11-10-23,09-10-31,2854481,13.49,26166.08,2160115.21,694365.79,Defaulted,Yes
L02795,C0749,B024,6,16-06-23,13-06-32,3059214,14.39,28042.8,2771684.13,287529.87,Active,No
L02796,C0529,B025,2,09-06-23,06-06-33,3426620,11.24,31410.68,2090319.14,1336300.86,Active,No
L02797,C1165,B001,6,15-12-23,14-12-24,2136021,11.26,19580.19,514609.41,1621411.59,Defaulted,Yes
L02798,C1491,B021,3,24-05-23,22-05-28,2487122,10.0,22798.62,1722036.58,765085.42,Defaulted,Yes
L02799,C0226,B028,1,02-12-23,30-11-31,2219391,10.72,20344.42,1987772.34,231618.66,Active,No
L02800,C1312,B025,3,28-04-24,27-04-29,1529052,12.73,14016.31,1215678.71,313373.29,Active,No
L02801,C0224,B023,4,01-11-22,01-11-23,3891018,14.99,35667.67,3362912.22,528105.78,Defaulted,Yes
L02802,C1056,B007,5,22-01-24,19-01-33,2273618,10.14,20841.5,908511.65,1365106.35,Active,No
L02803,C1242,B023,5,04-10-23,02-10-30,4862143,10.41,44569.64,3853820.62,1008322.38,Active,No
L02804,C1377,B016,3,25-05-24,24-05-31,2735916,12.83,25079.23,1533074.83,1202841.17,Closed,No
L02805,C0634,B027,2,27-03-24,26-03-29,4731887,12.92,43375.63,1219098.24,3512788.76,Active,No
L02806,C1373,B004,6,16-05-23,14-05-31,1865935,11.23,17104.4,457958.94,1407976.06,Active,No
L02807,C0396,B011,6,02-02-23,02-02-24,887853,12.64,8138.65,802733.77,85119.23,Closed,No
L02808,C1196,B006,2,03-01-22,02-01-26,4226604,9.08,38743.87,2562542.89,1664061.11,Active,No
L02809,C0388,B014,5,30-12-23,27-12-33,4303106,12.33,39445.14,1967541.31,2335564.69,Active,No
L02810,C1492,B006,2,14-05-22,13-05-24,4750020,13.62,43541.85,2215525.84,2534494.16,Closed,No
L02811,C0488,B011,6,22-05-22,20-05-28,3393266,13.97,31104.94,1533921.86,1859344.14,Active,No
L02812,C0110,B007,2,19-10-22,18-10-25,3878986,9.47,35557.37,1259507.28,2619478.72,Active,No
L02813,C1255,B011,1,09-05-23,06-05-33,4187759,9.44,38387.79,1088269.84,3099489.16,Active,No
L02814,C0086,B030,2,01-01-23,01-01-24,2733715,7.83,25059.05,1351864.6,1381850.4,Closed,No
L02815,C0634,B009,3,27-04-22,24-04-32,4044856,9.69,37077.85,1622720.03,2422135.97,Active,No
L02816,C1129,B019,2,27-04-23,24-04-33,3385213,8.25,31031.12,978074.89,2407138.11,Active,No
L02817,C0030,B027,4,13-10-23,11-10-29,1337109,7.74,12256.83,778314.13,558794.87,Closed,No
L02818,C0307,B030,5,23-01-24,22-01-28,3499241,12.75,32076.38,989215.73,2510025.27,Active,No
L02819,C0859,B018,6,10-10-23,08-10-29,321582,9.49,2947.84,158135.44,163446.56,Active,No
L02820,C0697,B019,3,05-01-22,05-01-23,2253103,8.51,20653.44,1119302.6,1133800.4,Active,No
L02821,C1024,B016,4,22-02-23,20-02-32,1880448,12.35,17237.44,1437704.48,442743.52,Active,No
L02822,C1324,B005,4,20-11-23,18-11-30,2714002,14.36,24878.35,2546671.72,167330.28,Active,No
L02823,C1390,B027,4,16-07-22,16-07-23,4936522,7.73,45251.45,3843279.22,1093242.78,Active,No
L02824,C1354,B027,2,02-07-22,30-06-29,2148468,14.62,19694.29,1117731.7,1030736.3,Active,No
L02825,C0307,B002,5,31-07-23,29-07-31,245726,10.5,2252.49,85265.29,160460.71,Closed,No
L02826,C1241,B002,4,12-12-22,10-12-30,295989,7.69,2713.23,154011.62,141977.38,Active,No
L02827,C0354,B002,1,09-01-24,08-01-28,663169,12.17,6079.05,639923.98,23245.02,Closed,No
L02828,C0894,B020,4,02-08-22,01-08-25,2221071,14.8,20359.82,993864.8,1227206.2,Active,No
L02829,C0397,B022,2,27-01-23,26-01-27,1629423,12.21,14936.38,1275011.56,354411.44,Active,No
L02830,C0774,B026,6,13-10-23,10-10-33,708745,8.67,6496.83,561684.73,147060.27,Active,No
L02831,C0327,B006,4,03-01-22,03-01-23,2928429,14.43,26843.93,1111236.47,1817192.53,Active,No
L02832,C1337,B015,4,27-07-23,25-07-28,1156321,8.95,10599.61,1049440.45,106880.55,Active,No
L02833,C0664,B016,6,09-03-24,07-03-33,554168,11.78,5079.87,250730.66,303437.34,Closed,No
L02834,C0128,B013,2,01-04-23,31-03-26,1496828,8.77,13720.92,1365902.39,130925.61,Defaulted,Yes
L02835,C0053,B003,2,08-11-23,06-11-30,4449938,15.31,40791.1,3846863.86,603074.14,Closed,No
L02836,C1442,B014,3,21-07-23,18-07-32,544729,12.14,4993.35,501820.38,42908.62,Active,No
L02837,C1163,B014,6,21-05-22,21-05-23,2371230,12.67,21736.28,1405797.17,965432.83,Active,No
L02838,C0527,B030,3,30-04-24,30-04-27,2325241,10.39,21314.71,1283459.95,1041781.05,Closed,No
L02839,C0962,B016,5,11-08-22,09-08-31,3900446,9.59,35754.09,2496635.87,1403810.13,Closed,No
L02840,C0559,B014,3,29-03-23,27-03-31,130228,11.24,1193.76,110481.63,19746.37,Closed,No
L02841,C1260,B017,5,05-03-24,03-03-34,543402,11.13,4981.19,540796.9,2605.1,Active,No
L02842,C0126,B026,5,06-06-22,05-06-25,4678132,11.6,42882.88,2082011.66,2596120.34,Active,No
L02843,C1319,B025,4,31-05-22,30-05-27,3464282,8.46,31755.92,2596874.03,867407.97,Active,No
L02844,C0153,B021,5,28-01-22,26-01-29,110987,7.77,1017.38,52527.94,58459.06,Closed,No
L02845,C0413,B003,6,01-02-23,30-01-30,3437107,10.52,31506.81,2179809.81,1257297.19,Active,No
L02846,C0296,B015,5,29-04-23,26-04-32,4942143,9.03,45302.98,4302090.83,640052.17,Closed,No
L02847,C0274,B018,6,07-05-22,05-05-28,1561297,9.41,14311.89,1262738.89,298558.11,Defaulted,Yes
L02848,C0037,B003,5,18-01-23,15-01-33,2365401,8.18,21682.84,630532.34,1734868.66,Active,No
L02849,C1070,B015,1,24-09-23,23-09-25,4767143,11.27,43698.81,3550238.26,1216904.74,Active,No
L02850,C0996,B028,1,10-12-23,08-12-29,4415405,8.86,40474.55,3636331.4,779073.6,Closed,No
L02851,C0113,B016,3,07-05-23,06-05-24,4020326,9.78,36852.99,2890981.82,1129344.18,Closed,No
L02852,C1500,B015,5,19-08-22,17-08-29,3662212,11.12,33570.28,3589090.54,73121.46,Active,No
L02853,C0671,B003,1,05-06-22,05-06-23,2563489,14.91,23498.65,1358205.93,1205283.07,Closed,No
L02854,C0218,B016,5,08-08-23,06-08-29,104226,7.72,955.41,25117.77,79108.23,Active,No
L02855,C1363,B010,5,30-06-22,28-06-30,199158,8.81,1825.62,99136.71,100021.29,Active,No
L02856,C0068,B003,1,20-02-24,19-02-27,2026389,12.46,18575.23,1545453.12,480935.88,Closed,No
L02857,C0970,B009,6,27-04-23,25-04-31,3157432,12.9,28943.13,2916121.21,241310.79,Closed,No
L02858,C0865,B011,5,01-11-23,30-10-31,2899804,13.49,26581.54,2064669.04,835134.96,Closed,No
L02859,C1389,B022,5,18-09-22,17-09-27,1500883,12.85,13758.09,716279.76,784603.24,Active,No
L02860,C0232,B012,6,19-06-22,18-06-26,571073,11.03,5234.84,242720.03,328352.97,Active,No
L02861,C0385,B008,4,10-02-22,08-02-32,3173485,13.64,29090.28,870590.16,2302894.84,Closed,No
L02862,C0810,B024,5,08-06-24,06-06-34,3825704,11.08,35068.95,3181194.47,644509.53,Closed,No
L02863,C0010,B027,5,01-07-23,29-06-29,1066470,10.25,9775.98,847666.47,218803.53,Defaulted,Yes
L02864,C1227,B022,1,25-02-24,23-02-30,841583,11.67,7714.51,712541.06,129041.94,Active,No
L02865,C0559,B019,5,23-09-23,22-09-24,3379823,11.62,30981.71,2071726.47,1308096.53,Active,No
L02866,C0093,B022,3,05-08-22,03-08-30,2930393,9.54,26861.94,1766008.98,1164384.02,Active,No
L02867,C0895,B007,2,05-12-22,04-12-27,324891,10.49,2978.17,211812.67,113078.33,Active,No
L02868,C1211,B004,1,07-09-22,06-09-24,2762023,8.22,25318.54,873588.39,1888434.61,Active,No
L02869,C0146,B018,3,28-02-22,26-02-29,4445954,12.92,40754.58,2212110.4,2233843.6,Closed,No
L02870,C1222,B008,2,08-06-23,07-06-25,4746475,9.44,43509.35,3486996.09,1259478.91,Closed,No
L02871,C0430,B002,6,26-04-24,24-04-32,4939178,13.29,45275.8,2615985.77,2323192.23,Active,No
L02872,C0018,B029,1,23-07-22,22-07-25,2406852,8.68,22062.81,1816075.68,590776.32,Closed,No
L02873,C1015,B022,2,29-05-24,29-05-25,3611396,10.18,33104.46,1487020.4,2124375.6,Active,No
L02874,C1177,B017,4,06-12-22,04-12-31,2587278,14.42,23716.72,1648921.81,938356.19,Active,No
L02875,C0578,B016,6,06-01-24,04-01-29,1282007,12.37,11751.73,1249583.06,32423.94,Closed,No
L02876,C0604,B006,5,07-07-23,06-07-27,2449152,14.98,22450.56,1365365.88,1083786.12,Active,No
L02877,C1398,B016,2,17-04-22,16-04-24,4141454,9.6,37963.33,3217274.27,924179.73,Defaulted,Yes
L02878,C0098,B026,3,22-03-22,20-03-28,3942076,13.9,36135.7,1366044.54,2576031.46,Active,No
L02879,C0877,B020,5,29-09-23,26-09-32,1617744,12.69,14829.32,872058.85,745685.15,Closed,No
L02880,C0678,B010,3,11-04-23,09-04-29,4644596,11.6,42575.46,2878670.95,1765925.05,Defaulted,Yes
L02881,C0009,B004,5,08-04-23,07-04-26,2573892,13.28,23594.01,2504862.62,69029.38,Active,No
L02882,C0007,B023,3,19-08-23,16-08-33,1887014,10.98,17297.63,1005323.85,881690.15,Closed,No
L02883,C1431,B019,2,14-12-23,12-12-28,3905730,10.52,35802.53,1821230.48,2084499.52,Defaulted,Yes
L02884,C0571,B027,5,13-09-22,12-09-27,4427955,13.8,40589.59,3020965.62,1406989.38,Active,No
L02885,C0716,B014,1,06-05-23,05-05-25,2133408,15.35,19556.24,1146804.63,986603.37,Closed,No
L02886,C0271,B023,2,24-02-23,24-02-24,4750513,15.23,43546.37,4003038.52,747474.48,Active,No
L02887,C1257,B009,5,10-04-24,10-04-25,4003504,14.43,36698.79,891093.1,3112410.9,Active,No
L02888,C0268,B015,6,26-08-22,25-08-27,956796,9.43,8770.63,481281.68,475514.32,Active,No
L02889,C0361,B026,6,24-02-22,22-02-30,1888281,8.04,17309.24,1642044.16,246236.84,Defaulted,Yes
L02890,C0722,B014,2,28-02-23,27-02-25,1458544,13.9,13369.99,623403.66,835140.34,Active,No
L02891,C1431,B001,4,18-04-22,16-04-31,1191009,14.28,10917.58,834223.99,356785.01,Active,No
L02892,C0810,B014,1,25-07-23,23-07-29,4195905,13.08,38462.46,2650423.22,1545481.78,Closed,No
L02893,C1052,B013,4,02-11-22,01-11-26,3008471,10.33,27577.65,2100112.27,908358.73,Active,No
L02894,C0339,B021,5,30-11-22,28-11-31,2586817,8.91,23712.49,682722.83,1904094.17,Defaulted,Yes
L02895,C1072,B023,5,23-05-22,21-05-29,737756,10.96,6762.76,701246.89,36509.11,Defaulted,Yes
L02896,C0799,B019,6,12-02-22,10-02-32,2751629,11.71,25223.27,2386611.34,365017.66,Closed,No
L02897,C1419,B027,5,14-11-22,13-11-27,1573065,11.09,14419.76,990221.6,582843.4,Closed,No
L02898,C1372,B008,6,06-02-22,05-02-25,2854303,14.02,26164.44,922774.29,1931528.71,Active,No
L02899,C0344,B007,6,08-07-23,07-07-26,4759769,14.84,43631.22,4253511.28,506257.72,Active,No
L02900,C0601,B005,4,01-08-22,30-07-30,3728834,11.86,34180.98,3563706.98,165127.02,Active,No
L02901,C0693,B006,4,20-05-22,19-05-25,3685926,11.73,33787.66,3522981.75,162944.25,Closed,No
L02902,C0307,B001,5,27-01-24,25-01-32,3276925,11.09,30038.48,3228576.87,48348.13,Closed,No
L02903,C0015,B014,2,20-08-22,18-08-31,2353495,9.32,21573.7,1294669.88,1058825.12,Active,No
L02904,C1304,B023,3,16-08-22,14-08-30,2331032,9.44,21367.79,1655455.61,675576.39,Active,No
L02905,C0928,B016,6,12-03-23,11-03-24,1555291,7.95,14256.83,551043.11,1004247.89,Closed,No
L02906,C1197,B016,2,05-12-22,05-12-23,1886484,15.03,17292.77,889902.62,996581.38,Active,No
L02907,C0260,B006,5,05-03-24,04-03-30,3977903,14.03,36464.11,1497684.81,2480218.19,Closed,No
L02908,C1453,B006,3,09-04-24,09-04-25,3859457,13.61,35378.36,3621037.92,238419.08,Active,No
L02909,C0841,B017,5,06-06-22,05-06-26,2877194,15.35,26374.28,1363060.21,1514133.79,Active,No
L02910,C1330,B002,3,25-03-24,25-03-26,3873767,8.33,35509.53,3540229.66,333537.34,Defaulted,Yes
L02911,C0737,B026,5,04-05-23,02-05-30,4780151,12.6,43818.05,3011254.32,1768896.68,Defaulted,Yes
L02912,C0477,B017,4,03-06-24,02-06-30,2494856,10.54,22869.51,1296788.05,1198067.95,Closed,No
L02913,C1375,B030,3,11-01-22,09-01-29,2591584,11.5,23756.19,2516758.98,74825.02,Active,No
L02914,C0145,B023,2,22-08-22,21-08-27,1838363,11.85,16851.66,643298.1,1195064.9,Active,No
L02915,C0897,B001,1,05-12-22,03-12-29,3054881,14.63,28003.08,1917632.01,1137248.99,Defaulted,Yes
L02916,C1215,B022,3,02-09-22,01-09-25,2295889,10.87,21045.65,2185717.13,110171.87,Active,No
L02917,C1218,B011,2,02-02-22,02-02-23,4195232,8.18,38456.29,2223742.88,1971489.12,Closed,No
L02918,C1180,B017,1,06-01-24,05-01-26,495929,9.43,4546.02,188607.32,307321.68,Defaulted,Yes
L02919,C0295,B018,2,01-06-23,31-05-27,4284229,10.35,39272.1,1169140.08,3115088.92,Closed,No
L02920,C0156,B002,5,17-07-23,16-07-24,547457,15.07,5018.36,249845.57,297611.43,Closed,No
L02921,C0405,B011,4,10-01-23,08-01-31,1932572,7.67,17715.24,706093.86,1226478.14,Active,No
L02922,C0944,B003,3,14-10-23,12-10-30,3873630,10.43,35508.28,2296294.58,1577335.42,Active,No
L02923,C1368,B029,3,18-03-23,16-03-29,3187770,15.19,29221.23,1817487.81,1370282.19,Defaulted,Yes
